dataset,delta,lambda,err
a1a,0.030303030303030304,2.1412531050454842e-5,0.7375750603010272
a1a,0.030303030303030304,1.8623527524655436e-5,0.737760472237537
a1a,0.030303030303030304,1.6197794489793888e-5,0.7379714246277571
a1a,0.030303030303030304,1.4088015602106073e-5,0.7381032540005659
a1a,0.030303030303030304,1.2253037518795517e-5,0.7382590427521071
a1a,0.030303030303030304,1.065706716101069e-5,0.7383721198213252
a1a,0.030303030303030304,9.268973534119771e-6,0.7384775154971085
a1a,0.030303030303030304,8.061680486591295e-6,0.7385918768366451
a1a,0.030303030303030304,7.011638562636032e-6,0.7386596717940153
a1a,0.030303030303030304,6.0983656465690715e-6,0.7387327025245048
a1a,0.030303030303030304,5.304047438702008e-6,0.738811299373826
a1a,0.030303030303030304,4.613189969648476e-6,0.7388722896725849
a1a,0.030303030303030304,4.012317374988128e-6,0.7389251815117763
a1a,0.030303030303030304,3.489709035081924e-6,0.738967271947168
a1a,0.030303030303030304,3.035170952688773e-6,0.7390172999003176
a1a,0.030303030303030304,2.6398369088755256e-6,0.7390593592348453
a1a,0.030303030303030304,2.2959955185681026e-6,0.739093306846534
a1a,0.030303030303030304,1.996939812289506e-6,0.7391218104174766
a1a,0.030303030303030304,1.736836410026543e-6,0.7391468189810151
a1a,0.030303030303030304,1.510611735330836e-6,0.7391691034570674
a1a,0.04040404040404041,1.5106117353308364,0.9987594145948262
a1a,0.04040404040404041,1.3138530501467138,0.9987594145948262
a1a,0.04040404040404041,1.1427223799514368,0.9987594145948262
a1a,0.04040404040404041,0.9938816502317818,0.9987594145948262
a1a,0.04040404040404041,0.8644275740092088,0.9987594145948262
a1a,0.04040404040404041,0.7518350203298194,0.9987594145948262
a1a,0.04040404040404041,0.6539077590649812,0.9987594145948262
a1a,0.04040404040404041,0.5687356212507972,0.9987594145948262
a1a,0.04040404040404041,0.4946572393360863,0.9987594145948262
a1a,0.04040404040404041,0.43022764055022716,0.9987594145948262
a1a,0.04040404040404041,0.3741900612671623,0.9987594145948262
a1a,0.04040404040404041,0.32545143257660164,0.9987594145948262
a1a,0.04040404040404041,0.28306105888402805,0.9987594145948262
a1a,0.04040404040404041,0.246192073644317,0.9987594145948262
a1a,0.04040404040404041,0.21412531050454858,0.9987594145948262
a1a,0.04040404040404041,0.1862352752465543,0.9624473998859602
a1a,0.04040404040404041,0.16197794489793893,0.9231358733017048
a1a,0.04040404040404041,0.14088015602106066,0.8936949187998099
a1a,0.04040404040404041,0.12253037518795522,0.8716492407980395
a1a,0.04040404040404041,0.10657067161010685,0.8366642698555987
a1a,0.04040404040404041,0.09268973534119775,0.8102927123398197
a1a,0.04040404040404041,0.08061680486591302,0.7913094202779186
a1a,0.04040404040404041,0.07011638562636031,0.7773853997335549
a1a,0.04040404040404041,0.06098365646569077,0.7664503543934403
a1a,0.04040404040404041,0.05304047438702008,0.7508586386437606
a1a,0.04040404040404041,0.0461318996964848,0.7358155562554201
a1a,0.04040404040404041,0.04012317374988128,0.7242529964270662
a1a,0.04040404040404041,0.034897090350819254,0.7144847476180076
a1a,0.04040404040404041,0.03035170952688772,0.704948328140247
a1a,0.04040404040404041,0.02639836908875527,0.6970324091085927
a1a,0.04040404040404041,0.022959955185681016,0.6908509375474533
a1a,0.04040404040404041,0.01996939812289507,0.6863856567917417
a1a,0.04040404040404041,0.017368364100265415,0.6809789886101825
a1a,0.04040404040404041,0.015106117353308359,0.6765328251122174
a1a,0.04040404040404041,0.013138530501467134,0.6736591326662844
a1a,0.04040404040404041,0.011427223799514366,0.6720692665558273
a1a,0.04040404040404041,0.009938816502317817,0.6709625745572233
a1a,0.04040404040404041,0.008644275740092088,0.6708342247243351
a1a,0.04040404040404041,0.007518350203298194,0.671205027642054
a1a,0.04040404040404041,0.006539077590649814,0.6714217840374099
a1a,0.04040404040404041,0.005687356212507973,0.6719634343778321
a1a,0.04040404040404041,0.004946572393360864,0.6728890133992788
a1a,0.04040404040404041,0.004302276405502273,0.6742601097146955
a1a,0.04040404040404041,0.0037419006126716207,0.6761219068399101
a1a,0.04040404040404041,0.003254514325766015,0.6780329159768683
a1a,0.04040404040404041,0.0028306105888402794,0.6797627028835274
a1a,0.04040404040404041,0.0024619207364431693,0.6816559689185657
a1a,0.04040404040404041,0.0021412531050454854,0.6838869909735482
a1a,0.04040404040404041,0.0018623527524655426,0.6868350456701466
a1a,0.04040404040404041,0.0016197794489793893,0.6904284261717277
a1a,0.04040404040404041,0.0014088015602106065,0.6936345921807925
a1a,0.04040404040404041,0.0012253037518795522,0.6966425280569977
a1a,0.04040404040404041,0.0010657067161010684,0.6991975936233403
a1a,0.04040404040404041,0.0009268973534119775,0.7020078648725235
